method,p,q,running_time,memory_comsumption,number_community
Label,0.1,0.01,3535,,3
Louvain,0.1,0.01,8487,,4
Label,0.1,0.03,2422,,1
Louvain,0.1,0.03,6447,,8
Label,0.1,0.05,2952,,1
Louvain,0.1,0.05,3805,,10
Label,0.1,0.07,4424,,1
Louvain,0.1,0.07,9140,,10
Label,0.1,0.1,5846,,1
Louvain,0.1,0.1,6369,,10
Label,0.12,0.01,3535,,3
Louvain,0.12,0.01,8050,,4
Label,0.12,0.03,2879,,1
Louvain,0.12,0.03,6929,,4
Label,0.12,0.05,1481,,1
Louvain,0.12,0.05,3392,,9
Label,0.12,0.07,3387,,1
Louvain,0.12,0.07,6157,,10
Label,0.12,0.1,1361,,1
Louvain,0.12,0.1,2363,,8
Label,0.15,0.01,3544,,3
Louvain,0.15,0.01,8057,,4
Label,0.15,0.03,2710,,1
Louvain,0.15,0.03,6139,,4
Label,0.15,0.05,1749,,1
Louvain,0.15,0.05,3126,,4
Label,0.15,0.07,3449,,1
Louvain,0.15,0.07,6265,,8
Label,0.15,0.1,3864,,1
Louvain,0.15,0.1,6764,,9
Label,0.15,0.15,5078,,1
Louvain,0.15,0.15,6542,,9
Label,0.17,0.01,3817,,2
Louvain,0.17,0.01,4985,,4
Label,0.17,0.03,2730,,1
Louvain,0.17,0.03,5991,,4
Label,0.17,0.05,2959,,1
Louvain,0.17,0.05,6700,,4
Label,0.17,0.07,3568,,1
Louvain,0.17,0.07,7972,,9
Label,0.17,0.1,3963,,1
Louvain,0.17,0.1,6826,,10
Label,0.17,0.15,5143,,1
Louvain,0.17,0.15,8056,,10
Label,0.2,0.01,1387,,3
Louvain,0.2,0.01,2469,,4
Label,0.2,0.03,1814,,2
Louvain,0.2,0.03,2107,,4
Label,0.2,0.05,3895,,1
Louvain,0.2,0.05,3319,,4
Label,0.2,0.07,5324,,1
Louvain,0.2,0.07,4739,,4
Label,0.2,0.1,5038,,1
Louvain,0.2,0.1,4763,,4
Label,0.2,0.15,5655,,1
Louvain,0.2,0.15,6729,,9
Label,0.2,0.2,5895,,1
Louvain,0.2,0.2,3025,,8
Label,0.25,0.01,2973,,4
Louvain,0.25,0.01,3745,,4
Label,0.25,0.03,3069,,2
Louvain,0.25,0.03,4439,,4
Label,0.25,0.05,7014,,1
Louvain,0.25,0.05,4140,,4
Label,0.25,0.07,6138,,1
Louvain,0.25,0.07,4574,,4
Label,0.25,0.1,5227,,1
Louvain,0.25,0.1,3608,,4
Label,0.25,0.15,6410,,1
Louvain,0.25,0.15,6870,,7
Label,0.25,0.2,5994,,1
Louvain,0.25,0.2,3184,,7
Label,0.25,0.25,6743,,1
Louvain,0.25,0.25,2791,,10
Label,0.3,0.01,2950,,4
Louvain,0.3,0.01,4881,,4
Label,0.3,0.03,3696,,3
Louvain,0.3,0.03,4525,,4
Label,0.3,0.05,1143,,1
Louvain,0.3,0.05,2416,,4
Label,0.3,0.07,3842,,1
Louvain,0.3,0.07,5209,,4
Label,0.3,0.1,4458,,1
Louvain,0.3,0.1,6966,,4
Label,0.3,0.15,6857,,1
Louvain,0.3,0.15,10667,,4
Label,0.3,0.2,7759,,1
Louvain,0.3,0.2,5438,,8
Label,0.3,0.25,6386,,1
Louvain,0.3,0.25,3916,,7
Label,0.3,0.3,6483,,1
Louvain,0.3,0.3,3768,,6
Label,0.35,0.01,1291,,4
Louvain,0.35,0.01,1642,,4
Label,0.35,0.03,3926,,3
Louvain,0.35,0.03,4842,,4
Label,0.35,0.05,2053,,3
Louvain,0.35,0.05,2072,,4
Label,0.35,0.07,4595,,1
Louvain,0.35,0.07,6608,,4
Label,0.35,0.1,4864,,1
Louvain,0.35,0.1,7197,,4
Label,0.35,0.15,7270,,1
Louvain,0.35,0.15,9064,,4
Label,0.35,0.2,7762,,1
Louvain,0.35,0.2,3957,,6
Label,0.35,0.25,3641,,1
Louvain,0.35,0.25,2432,,8
Label,0.35,0.3,3144,,1
Louvain,0.35,0.3,2201,,7
Label,0.35,0.35,6119,,1
Louvain,0.35,0.35,3467,,8
Label,0.4,0.01,6153,,4
Louvain,0.4,0.01,4145,,4
Label,0.4,0.03,5104,,4
Louvain,0.4,0.03,3772,,4
Label,0.4,0.05,5448,,4
Louvain,0.4,0.05,3252,,4
Label,0.4,0.07,5607,,1
Louvain,0.4,0.07,3456,,4
Label,0.4,0.1,5186,,1
Louvain,0.4,0.1,3417,,4
Label,0.4,0.15,7694,,1
Louvain,0.4,0.15,7461,,4
Label,0.4,0.2,5159,,1
Louvain,0.4,0.2,2939,,4
Label,0.4,0.25,7788,,1
Louvain,0.4,0.25,4133,,8
Label,0.4,0.3,10003,,1
Louvain,0.4,0.3,4412,,6
Label,0.4,0.35,13660,,1
Louvain,0.4,0.35,3720,,8
Label,0.4,0.4,13526,,1
Louvain,0.4,0.4,4223,,8
